//0																													
//Oxygen,  1.005
//Nitrate, 1,1,6.2,0
//pH, 1,-.021, 0.07
//pH, 2,0.037, 0.01
//pH, 13, 0, -0.044
//pH, 27, -0.005, 0
//pH, 28, -0.010, 0
//pH, 29, -0.005, 0.04
//pH, 40, 0, -0.008
//Chl,  0.1697,  -0.0022
//BB, 1, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		1398.29	0	0.7045	0	34.7033	0	27.817	0	203.81	0	57.85	0	32.90	0	0.020867	0	0.000097	0	7.8851	0	7.5929	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		1298.66	0	0.743	0	34.7051	0	27.816	0	202.71	0	57.60	0	32.76	0	0.01917	0	0.000097	0	7.8884	0	7.5932	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		1199.37	0	0.784	0	34.7065	0	27.814	0	201.60	0	57.35	0	32.97	0	0.01917	0	0.000098	0	7.8903	0	7.5922	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		1098.81	0	0.8399	0	34.7092	0	27.811	0	200.00	0	56.97	0	33.12	0	0.01917	0	0.000099	0	7.8923	0	7.5916	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		999.26	0	0.8969	0	34.7112	0	27.809	0	198.19	0	56.54	0	33.04	0	0.01917	0	0.000098	0	7.8956	0	7.5921	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		950.95	0	0.9242	0	34.7121	0	27.807	0	197.18	0	56.29	0	33.06	0	0.022564	0	0.000101	0	7.9009	0	7.5966	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		901.35	0	0.9531	0	34.7132	0	27.806	0	196.18	0	56.05	0	32.98	0	0.01917	0	0.000101	0	7.8980	0	7.5928	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		851.41	0	0.9854	0	34.7149	0	27.804	0	194.97	0	55.75	0	33.12	0	0.020867	0	0.000101	0	7.8974	0	7.5910	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		800.6	0	1.012	0	34.7158	0	27.803	0	193.86	0	55.47	0	32.93	0	0.022564	0	0.000101	0	7.8968	0	7.5891	0
9091SoOcn	2	C	4/14/2014	06:07	210.192	-63.804		750.76	0	1.0377	0	34.7169	0	27.802	0	192.86	0	55.22	0	33.07	0	0.022564	0	0.000101	0	7.8967	0	7.5877	0
