//0																					
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   500.90	0	  6.3715	0	34.2115	0	26.812	0	18.8	0	6.1	0	35.42	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   451.11	0	  6.8999	0	34.2137	0	26.742	0	21.8	0	7.1	0	34.27	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   401.55	0	  7.3084	0	34.2088	0	26.68	0	25.4	0	8.4	0	33.16	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   381.56	0	  7.3987	0	34.2053	0	26.664	0	27.2	0	9.0	0	33.11	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   361.56	0	  7.5930	0	34.2059	0	26.637	0	28.3	0	9.4	0	32.42	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   351.38	0	  7.6578	0	34.2069	0	26.628	0	28.7	0	9.6	0	32.42	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   340.63	0	  7.8186	0	34.2027	0	26.601	0	28.9	0	9.7	0	31.82	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   330.77	0	  7.9740	0	34.2041	0	26.579	0	30.6	0	10.3	0	31.43	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   320.78	0	  8.2126	0	34.2079	0	26.546	0	33.2	0	11.2	0	30.60	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   310.91	0	  8.2562	0	34.2076	0	26.539	0	35.5	0	12.0	0	30.50	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   301.50	0	  8.3506	0	34.2021	0	26.52	0	36.9	0	12.5	0	30.29	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   291.01	0	  8.4243	0	34.1976	0	26.505	0	38.3	0	13.0	0	30.06	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   280.94	0	  8.4522	0	34.1841	0	26.49	0	39.7	0	13.5	0	29.85	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   271.25	0	  8.4659	0	34.1662	0	26.473	0	42.8	0	14.6	0	29.78	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   261.51	0	  8.4718	0	34.1644	0	26.47	0	44.8	0	15.3	0	29.72	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   251.05	0	  8.5654	0	34.1522	0	26.446	0	46.2	0	15.8	0	29.29	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   241.57	0	  8.6046	0	34.1493	0	26.437	0	48.8	0	16.7	0	28.95	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   231.66	0	  8.7000	0	34.1338	0	26.41	0	52.4	0	17.9	0	28.41	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   221.15	0	  8.8731	0	34.1200	0	26.371	0	57.0	0	19.6	0	27.72	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   211.74	0	  8.9445	0	34.1020	0	26.344	0	60.8	0	20.9	0	27.34	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   201.23	0	  9.0530	0	34.0819	0	26.31	0	66.9	0	23.1	0	26.75	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   191.44	0	  9.1313	0	34.0493	0	26.271	0	74.6	0	25.8	0	26.37	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   181.12	0	  9.1862	0	34.0380	0	26.252	0	77.0	0	26.6	0	26.45	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   170.98	0	  9.2495	0	34.0181	0	26.226	0	76.8	0	26.6	0	26.50	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   161.67	0	  9.3320	0	33.9866	0	26.186	0	77.8	0	27.0	0	26.03	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   151.61	0	  9.4348	0	33.9656	0	26.152	0	81.4	0	28.3	0	25.08	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   141.67	0	  9.5024	0	33.9471	0	26.125	0	85.1	0	29.6	0	24.87	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   131.55	0	  9.6013	0	33.9099	0	26.078	0	88.9	0	31.0	0	24.54	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   120.92	0	  9.6078	0	33.9078	0	26.075	0	93.8	0	32.7	0	24.60	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   111.45	0	  9.6120	0	33.9105	0	26.077	0	95.2	0	33.2	0	25.00	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		   101.22	0	  9.7949	0	33.8771	0	26.018	0	96.7	0	33.9	0	24.21	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    95.75	0	  9.8560	0	33.8460	0	25.982	0	99.5	0	34.9	0	23.34	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    91.33	0	  9.8787	0	33.8306	0	25.965	0	103.2	0	36.2	0	23.13	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    85.90	0	  9.8978	0	33.8234	0	25.956	0	104.7	0	36.7	0	23.24	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    81.38	0	  9.8687	0	33.7946	0	25.937	0	107.2	0	37.6	0	22.40	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    75.84	0	  9.8213	0	33.7635	0	25.919	0	116.6	0	40.8	0	22.36	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    71.69	0	  9.8506	0	33.7201	0	25.878	0	126.3	0	44.2	0	22.19	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    66.70	0	 10.1198	0	33.7002	0	25.816	0	136.4	0	48.0	0	21.38	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    61.17	0	 10.2298	0	33.6807	0	25.78	0	140.9	0	49.7	0	21.02	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    56.25	0	 10.4531	0	33.6385	0	25.706	0	146.0	0	51.8	0	19.23	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    51.14	0	 10.5695	0	33.6105	0	25.663	0	155.3	0	55.2	0	18.32	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    46.77	0	 10.6983	0	33.5545	0	25.593	0	160.4	0	57.2	0	17.51	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    41.75	0	 10.7624	0	33.5518	0	25.58	0	173.6	0	62.0	0	17.22	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    36.75	0	 11.2602	0	33.5424	0	25.482	0	180.7	0	65.2	0	14.77	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    31.80	0	 11.4841	0	33.5124	0	25.416	0	197.6	0	71.6	0	13.32	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    26.73	0	 11.7631	0	33.4838	0	25.34	0	207.8	0	75.7	0	11.42	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    21.85	0	 12.3752	0	33.4928	0	25.231	0	236.6	0	87.3	0	07.39	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    16.70	0	 12.8662	0	33.5023	0	25.143	0	271.3	0	101.2	0	05.32	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		    11.74	0	 13.0618	0	33.4956	0	25.099	0	284.5	0	106.6	0	04.90	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551		     7.70	0	 13.3723	0	33.4716	0	25.016	0	290.3	0	109.4	0	05.12	0
6401MtyBay	 2	C	08/04/2009	10:51	237.658	 36.551																	
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		  1098.48	0	  3.7665	0	34.4639	0	27.336	0	16.9	0	5.1	0	41.43	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   999.38	0	  4.1065	0	34.4297	0	27.271	0	11.7	0	3.6	0	41.40	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   951.09	0	  4.2255	0	34.4207	0	27.25	0	10.8	0	3.3	0	40.29	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   901.30	0	  4.3316	0	34.4076	0	27.227	0	9.5	0	2.9	0	40.34	0
6401MtyBay	 3	C	08/04/2009	22:22	237.646	 36.558		   851.48	0	  4.4863	0	34.3871	0	27.192	0	7.8	0	2.4	0	40.32	0
